vendor_id,vendor_info
1,"Vendor: Decoraciones Elegantes (Servicio de diseño de interiores para eventos corporativos y sociales.), Location: San José, Escazú, Labels: Decoración bodas, eventos temáticos, centros de mesa personalizados, diseño de ambientes, decoraciones elegantes, Category: Decoración (Servicios de decoración para eventos corporativos y sociales.), Service: Diseño de interiores para eventos (Especialistas en la decoración de eventos corporativos y sociales. Ofrecemos diseños personalizados para bodas, cumpleaños, y eventos temáticos. Trabajamos con materiales de alta calidad y un equipo creativo que garantiza un ambiente inolvidable.), Available: b'\x01', Vendor: Decoraciones Elegantes (Servicio de instalación de adornos florales para eventos.), Location: San José, Escazú, Labels: Decoración bodas, eventos temáticos, centros de mesa personalizados, diseño de ambientes, decoraciones elegantes, Category: Decoración (Servicios de decoración para eventos corporativos y sociales.), Service: Instalación de adornos florales (Especialistas en la decoración de eventos corporativos y sociales. Ofrecemos diseños personalizados para bodas, cumpleaños, y eventos temáticos. Trabajamos con materiales de alta calidad y un equipo creativo que garantiza un ambiente inolvidable.), Available: b'\x01', Vendor: Decoraciones Elegantes (Servicio de diseño de iluminación ambiental para eventos.), Location: San José, Escazú, Labels: Decoración bodas, eventos temáticos, centros de mesa personalizados, diseño de ambientes, decoraciones elegantes, Category: Decoración (Servicios de decoración para eventos corporativos y sociales.), Service: Diseño de iluminación ambiental (Especialistas en la decoración de eventos corporativos y sociales. Ofrecemos diseños personalizados para bodas, cumpleaños, y eventos temáticos. Trabajamos con materiales de alta calidad y un equipo creativo que garantiza un ambiente inolvidable.), Available: b'\x01'"
10,"Vendor: Animación Divertida (Servicio de animación para niños en eventos.), Location: Cartago, Central, Labels: animación eventos, entretenimiento, animadores profesionales, diversión garantizada, animación divertida, Category: Animación (Servicios de animación y entretenimiento para eventos.), Service: Animación para niños (Proveemos servicios de animación y entretenimiento para eventos. Contamos con un equipo de animadores profesionales que garantizan diversión y entretenimiento para todos los asistentes.), Available: b'\x01', Vendor: Animación Divertida (Servicio de entretenimiento para adultos en eventos.), Location: Cartago, Central, Labels: animación eventos, entretenimiento, animadores profesionales, diversión garantizada, animación divertida, Category: Animación (Servicios de animación y entretenimiento para eventos.), Service: Entretenimiento para adultos (Proveemos servicios de animación y entretenimiento para eventos. Contamos con un equipo de animadores profesionales que garantizan diversión y entretenimiento para todos los asistentes.), Available: b'\x01'"
11,"Vendor: Bebidas Exquisitas (Servicio de coctelería personalizada para eventos.), Location: San José, Central, Labels: bebidas eventos, coctelería, bartenders profesionales, cocteles personalizados, bebidas exquisitas, Category: Bebidas (Servicios de bebidas y coctelería para eventos.), Service: Coctelería personalizada (Ofrecemos servicios de bebidas y coctelería para eventos. Contamos con bartenders profesionales que preparan cocteles personalizados y de alta calidad.), Available: b'\x01', Vendor: Bebidas Exquisitas (Servicio de barra libre para eventos.), Location: San José, Central, Labels: bebidas eventos, coctelería, bartenders profesionales, cocteles personalizados, bebidas exquisitas, Category: Bebidas (Servicios de bebidas y coctelería para eventos.), Service: Barra libre (Ofrecemos servicios de bebidas y coctelería para eventos. Contamos con bartenders profesionales que preparan cocteles personalizados y de alta calidad.), Available: b'\x01'"
12,"Vendor: Juegos Divertidos (Servicio de juegos inflables para eventos.), Location: Heredia, Central, Labels: juegos eventos, entretenimiento, diversión garantizada, juegos para todas las edades, juegos divertidos, Category: Juegos (Servicios de juegos y entretenimiento para eventos.), Service: Juegos inflables (Proveemos servicios de juegos y entretenimiento para eventos. Contamos con una variedad de juegos para todas las edades, garantizando diversión para todos los asistentes.), Available: b'\x01', Vendor: Juegos Divertidos (Servicio de juegos de mesa para eventos.), Location: Heredia, Central, Labels: juegos eventos, entretenimiento, diversión garantizada, juegos para todas las edades, juegos divertidos, Category: Juegos (Servicios de juegos y entretenimiento para eventos.), Service: Juegos de mesa (Proveemos servicios de juegos y entretenimiento para eventos. Contamos con una variedad de juegos para todas las edades, garantizando diversión para todos los asistentes.), Available: b'\x01'"
13,"Vendor: Vestuario Elegante (Servicio de alquiler de disfraces para eventos.), Location: Cartago, Central, Labels: vestuario eventos, disfraces, trajes de alta calidad, vestuario elegante, eventos especiales, Category: Vestuario (Servicios de vestuario y disfraces para eventos.), Service: Alquiler de disfraces (Ofrecemos servicios de vestuario y disfraces para eventos. Contamos con una amplia variedad de trajes y disfraces de alta calidad para cualquier ocasión.), Available: b'\x01', Vendor: Vestuario Elegante (Servicio de diseño de trajes para eventos.), Location: Cartago, Central, Labels: vestuario eventos, disfraces, trajes de alta calidad, vestuario elegante, eventos especiales, Category: Vestuario (Servicios de vestuario y disfraces para eventos.), Service: Diseño de trajes (Ofrecemos servicios de vestuario y disfraces para eventos. Contamos con una amplia variedad de trajes y disfraces de alta calidad para cualquier ocasión.), Available: b'\x01'"
14,"Vendor: Invitaciones Creativas (Servicio de diseño de invitaciones para eventos.), Location: Alajuela, Central, Labels: invitaciones eventos, diseño personalizado, invitaciones únicas, estilo y tema, invitaciones creativas, Category: Invitaciones (Servicios de diseño y envío de invitaciones para eventos.), Service: Diseño de invitaciones (Proveemos servicios de diseño y envío de invitaciones para eventos. Creamos invitaciones personalizadas y únicas que reflejan el estilo y tema del evento.), Available: b'\x01', Vendor: Invitaciones Creativas (Servicio de envío de invitaciones para eventos.), Location: Alajuela, Central, Labels: invitaciones eventos, diseño personalizado, invitaciones únicas, estilo y tema, invitaciones creativas, Category: Invitaciones (Servicios de diseño y envío de invitaciones para eventos.), Service: Envío de invitaciones (Proveemos servicios de diseño y envío de invitaciones para eventos. Creamos invitaciones personalizadas y únicas que reflejan el estilo y tema del evento.), Available: b'\x01'"
15,"Vendor: Recuerdos Memorables (Servicio de creación de recuerdos personalizados para eventos.), Location: Puntarenas, Central, Labels: recuerdos eventos, personalizados, recuerdos únicos, impresión duradera, recuerdos memorables, Category: Recuerdos (Servicios de creación de recuerdos personalizados para eventos.), Service: Creación de recuerdos (Ofrecemos servicios de creación de recuerdos personalizados para eventos. Diseñamos y fabricamos recuerdos únicos que dejarán una impresión duradera en los invitados.), Available: b'\x01', Vendor: Recuerdos Memorables (Servicio de fabricación de recuerdos únicos para eventos.), Location: Puntarenas, Central, Labels: recuerdos eventos, personalizados, recuerdos únicos, impresión duradera, recuerdos memorables, Category: Recuerdos (Servicios de creación de recuerdos personalizados para eventos.), Service: Fabricación de recuerdos (Ofrecemos servicios de creación de recuerdos personalizados para eventos. Diseñamos y fabricamos recuerdos únicos que dejarán una impresión duradera en los invitados.), Available: b'\x01'"
16,"Vendor: Bebidas Exquisitas (Servicio de coctelería personalizada para eventos.), Location: San José, Central, Labels: bebidas eventos, coctelería, bartenders profesionales, cocteles personalizados, bebidas exquisitas, Category: Bebidas (Servicios de bebidas y coctelería para eventos.), Service: Coctelería personalizada (Ofrecemos servicios de bebidas y coctelería para eventos. Contamos con bartenders profesionales que preparan cocteles personalizados y de alta calidad.), Available: b'\x01', Vendor: Bebidas Exquisitas (Servicio de barra libre para eventos.), Location: San José, Central, Labels: bebidas eventos, coctelería, bartenders profesionales, cocteles personalizados, bebidas exquisitas, Category: Bebidas (Servicios de bebidas y coctelería para eventos.), Service: Barra libre (Ofrecemos servicios de bebidas y coctelería para eventos. Contamos con bartenders profesionales que preparan cocteles personalizados y de alta calidad.), Available: b'\x01'"
17,"Vendor: Juegos Divertidos (Servicio de juegos inflables para eventos.), Location: Heredia, Central, Labels: juegos eventos, entretenimiento, diversión garantizada, juegos para todas las edades, juegos divertidos, Category: Juegos (Servicios de juegos y entretenimiento para eventos.), Service: Juegos inflables (Proveemos servicios de juegos y entretenimiento para eventos. Contamos con una variedad de juegos para todas las edades, garantizando diversión para todos los asistentes.), Available: b'\x01', Vendor: Juegos Divertidos (Servicio de juegos de mesa para eventos.), Location: Heredia, Central, Labels: juegos eventos, entretenimiento, diversión garantizada, juegos para todas las edades, juegos divertidos, Category: Juegos (Servicios de juegos y entretenimiento para eventos.), Service: Juegos de mesa (Proveemos servicios de juegos y entretenimiento para eventos. Contamos con una variedad de juegos para todas las edades, garantizando diversión para todos los asistentes.), Available: b'\x01'"
18,"Vendor: Vestuario Elegante (Servicio de alquiler de disfraces para eventos.), Location: Cartago, Central, Labels: vestuario eventos, disfraces, trajes de alta calidad, vestuario elegante, eventos especiales, Category: Vestuario (Servicios de vestuario y disfraces para eventos.), Service: Alquiler de disfraces (Ofrecemos servicios de vestuario y disfraces para eventos. Contamos con una amplia variedad de trajes y disfraces de alta calidad para cualquier ocasión.), Available: b'\x01', Vendor: Vestuario Elegante (Servicio de diseño de trajes para eventos.), Location: Cartago, Central, Labels: vestuario eventos, disfraces, trajes de alta calidad, vestuario elegante, eventos especiales, Category: Vestuario (Servicios de vestuario y disfraces para eventos.), Service: Diseño de trajes (Ofrecemos servicios de vestuario y disfraces para eventos. Contamos con una amplia variedad de trajes y disfraces de alta calidad para cualquier ocasión.), Available: b'\x01'"
